County,Meridian,Section,Township,Range,Legal Description,Legal Description Short,Surface Acres,Land Class Description,PLSSID,FRSTDIVID,SECDIVID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,STEWARD,TWNSHPLAB,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVLAB,QSEC,QQSEC,GOVLOT,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),SECDIVNOTE
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,5,L 5,NE,NENE,L5,48.27 Acres,48.27,48.23952941,1417737600000,{5EDC0B2F-6B13-4DAF-82F9-0FE3E9B11687},1135978,401755.243339025,2547.8309991270667,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,5,L 5,NE,SENE,L5,48.27 Acres,48.27,48.23952941,1417737600000,{92ACCFFC-B4BE-4576-B7D3-2761FB748F17},1136094,401755.243339025,2547.8309991270667,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L1,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L1,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,1,L 1,NE,NENE,L1,31.51 Acres,31.51,31.53686516,1417737600000,{D3A1FADF-9F8E-41F7-B913-098E8C7F378B},1135966,262681.589571115,2039.341894910801,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L8,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L8,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,8,L 8,NW,SWNW,L8,49.05 Acres,49.05,49.11395476,1417737600000,{CF13DCDB-BAF5-4B9C-AC6F-26F1073E2050},1136091,409040.646389695,2571.978117375575,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L8,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L8,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,8,L 8,NW,NWNW,L8,49.05 Acres,49.05,49.11395476,1417737600000,{721ACE5D-E414-40FF-9683-6EA4BE102020},1135975,409040.646389695,2571.978117375575,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",NESE,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ANESE,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,A,Aliquot Part,NESE,NESE,SE,NESE,,40 Acres,40.0,40.11071782,1417737600000,{7B563508-DE80-4572-9AA7-2220A90CB1F6},1135980,334006.64720112,2311.7760238717647,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",SWSW,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ASWSW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,A,Aliquot Part,SWSW,SWSW,SW,SWSW,,40 Acres,40.0,40.00796826,1417737600000,{0A0DE737-DD49-493C-AA27-A0DEA6542007},1135994,333110.183921305,2308.6567927545943,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L8,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L8,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,8,L 8,NW,SWNW,L8,49.05 Acres,49.05,49.11395476,1417737600000,{CF13DCDB-BAF5-4B9C-AC6F-26F1073E2050},1136091,409040.646389695,2571.978117375575,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L8,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L8,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,8,L 8,NW,NWNW,L8,49.05 Acres,49.05,49.11395476,1417737600000,{721ACE5D-E414-40FF-9683-6EA4BE102020},1135975,409040.646389695,2571.978117375575,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L2,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L2,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,2,L 2,NE,NWNE,L2,32.26 Acres,32.26,32.38756011,1417737600000,{59C0BB3F-82A5-4066-9F4A-65980506B939},1135967,269767.500651995,2088.5343905844147,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L7,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L7,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,7,L 7,NW,NENW,L7,48.79 Acres,48.79,48.80939402,1417737600000,{3457849A-6964-4362-97BF-1AEBFA088EA6},1135976,406503.092983485,2563.759372766922,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L7,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L7,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,7,L 7,NW,SENW,L7,48.79 Acres,48.79,48.80939402,1417737600000,{162B95E7-136A-4356-9DAB-AEDECA2C6F00},1136092,406503.092983485,2563.759372766922,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",NWSE,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ANWSE,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,A,Aliquot Part,NWSE,NWSE,SE,NWSE,,40 Acres,40.0,40.07204687,1417737600000,{693E8977-A630-4860-880F-B1239D85A680},1135982,333685.367706705,2310.6574656695348,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",SESW,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ASESW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,A,Aliquot Part,SESW,SESW,SW,SESW,,40 Acres,40.0,40.04913194,1417737600000,{8299BBC2-73B7-4536-926F-A4DE165F3B02},1135995,333452.111019985,2309.8441032415294,
